card_name,elegantoctopus_price,elegantoctopus_availability,laughingdragonmtg_price,laughingdragonmtg_availability,lowest_price,lowest_price_store
Spark Double,n/a,n/a,6.75,Available,6.75,laughingdragonmtg
An Offer You Can't Refuse,1.99,Available,2.5,Available,1.99,elegantoctopus
Arcane Denial,1.46,Available,3.5,Available,1.46,elegantoctopus
Arcane Signet,0.42,Available,0.5,Available,0.42,elegantoctopus
Archmage Emeritus,1.3,Available,1.5,Available,1.3,elegantoctopus
As Foretold,3.35,Available,0.55,Available,0.55,laughingdragonmtg
Birthday Escape,0.49,Available,0.25,Available,0.25,laughingdragonmtg
Bloodline Pretender,0.98,Available,n/a,n/a,0.98,elegantoctopus
Brainstorm,1.42,Available,1.79,Available,1.42,elegantoctopus
Call of the Ring,2.41,Available,5,Available,2.41,elegantoctopus
Claim the Precious,0.49,Available,0.25,Available,0.25,laughingdragonmtg
Counterspell,1.15,Available,2.03,Available,1.15,elegantoctopus
Dark Ritual,2.8,Available,2.7,Available,2.7,laughingdragonmtg
Dimir Signet,0.5,Available,7.56,Available,0.5,elegantoctopus
Ensnare,0.69,Available,n/a,n/a,0.69,elegantoctopus
Frantic Search,0.87,Available,n/a,n/a,0.87,elegantoctopus
Gitaxian Probe,3.97,Available,5.5,Available,3.97,elegantoctopus
Glamdring,1.1,Available,1.5,Available,1.1,elegantoctopus
Glorious Gale,0.44,Available,0.23,Available,0.23,laughingdragonmtg
God-Eternal Kefnet,2.0,Available,n/a,n/a,2.0,elegantoctopus
High Tide,0.6,Available,0.72,Available,0.6,elegantoctopus
Impulse,0.35,Available,0.23,Available,0.23,laughingdragonmtg
Mana Leak,0.35,Available,0.23,Available,0.23,laughingdragonmtg
Moonlit Meditation,n/a,n/a,n/a,n/a,n/a,n/a
Negate,0.35,Available,0.23,Available,0.23,laughingdragonmtg
Night's Whisper,0.39,Available,n/a,n/a,0.39,elegantoctopus
Peek,0.35,Available,n/a,n/a,0.35,elegantoctopus
Pongify,2.45,Available,n/a,n/a,2.45,elegantoctopus
Preordain,n/a,n/a,5,Available,5,laughingdragonmtg
Psychosis Crawler,0.6,Available,0.3,Available,0.3,laughingdragonmtg
Reliquary Tower,2.25,Available,5.99,Available,2.25,elegantoctopus
Ringsight,n/a,n/a,0.25,Available,0.25,laughingdragonmtg
Sam's Desperate Rescue,0.35,Available,0.25,Available,0.25,laughingdragonmtg
Slip Out the Back,2.09,Available,n/a,n/a,2.09,elegantoctopus
Snap,0.35,Available,0.25,Available,0.25,laughingdragonmtg
Sol Ring,1.41,Available,25.82,Available,1.41,elegantoctopus
Spell Pierce,0.35,Available,0.23,Available,0.23,laughingdragonmtg
Swiftfoot Boots,1.39,Available,4.29,Available,1.39,elegantoctopus
Tainted Indulgence,0.35,Available,n/a,n/a,0.35,elegantoctopus
Talisman of Dominance,0.8,Available,n/a,n/a,0.8,elegantoctopus
"Talrand, Sky Summoner",0.49,Available,0.27,Available,0.27,laughingdragonmtg
Teferi's Ageless Insight,n/a,n/a,n/a,n/a,n/a,n/a
Thought Vessel,1.35,Available,n/a,n/a,1.35,elegantoctopus
Time Reversal,n/a,n/a,n/a,n/a,n/a,n/a
Unwind,n/a,n/a,n/a,n/a,n/a,n/a
Vendetta,0.35,Available,0.25,Available,0.25,laughingdragonmtg
Witch-king of Angmar,n/a,n/a,17.5,Available,17.5,laughingdragonmtg
